resultId,raceId,driverId,constructorId,number
809,56,29,6,5
810,56,3,4,1
811,56,30,1,4
812,56,12,6,6
813,56,7,1,3
814,56,16,3,9
815,56,17,11,12
816,56,20,4,2
817,56,22,7,7
818,56,21,11,11
819,56,2,3,10
820,56,34,2,17
821,56,1,2,16
822,56,23,5,20
823,56,25,5,21
824,56,32,13,18
825,56,13,9,14
826,56,10,8,22
827,56,31,9,15
828,56,33,8,23
829,56,14,7,8
830,56,26,13,19
831,57,29,6,5
832,57,3,4,1
833,57,12,6,6
834,57,7,1,3
835,57,21,11,11
836,57,20,4,2
837,57,2,3,10
838,57,34,2,17
839,57,14,7,8
840,57,1,2,16
841,57,25,5,21
842,57,32,13,18
843,57,26,13,19
844,57,22,7,7
845,57,30,1,4
846,57,10,8,22
847,57,35,8,23
848,57,17,11,12
849,57,31,9,15
850,57,16,3,9
851,57,13,9,14
852,57,23,5,20
853,58,3,4,1
854,58,29,6,5
855,58,20,4,2
856,58,12,6,6
857,58,7,1,3
858,58,17,11,12
859,58,21,11,11
860,58,1,2,16
861,58,16,3,9
862,58,14,7,8
863,58,2,3,10
864,58,34,2,17
865,58,31,9,15
866,58,13,9,14
867,58,23,5,20
868,58,32,13,18
869,58,10,8,22
870,58,26,13,19
871,58,25,5,21
872,58,22,7,7
873,58,30,1,4
874,58,35,8,23
875,59,3,4,1
876,59,30,1,4
877,59,13,9,14
878,59,21,11,11
879,59,29,6,5
880,59,20,4,2
881,59,1,2,16
882,59,22,7,7
883,59,12,6,6
884,59,23,5,20
885,59,17,11,12
886,59,26,13,19
887,59,25,5,21
888,59,34,2,17
889,59,32,13,18
890,59,35,8,23
891,59,14,7,8
892,59,31,9,15
893,59,2,3,10
894,59,7,1,3
895,59,16,3,9
896,59,10,8,22
897,60,3,4,1
898,60,29,6,5
899,60,7,1,3
900,60,20,4,2
901,60,12,6,6
902,60,30,1,4
903,60,1,2,16
904,60,34,2,17
905,60,2,3,10
906,60,21,11,11
907,60,14,7,8
908,60,13,9,14
909,60,23,5,20
910,60,31,9,15
911,60,26,13,19
912,60,32,13,18
913,60,10,8,22
914,60,35,8,23
915,60,17,11,12
916,60,25,5,21
917,60,22,7,7
918,60,16,3,9
919,61,3,4,1
920,61,29,6,5
921,61,7,1,3
922,61,20,4,2
923,61,12,6,6
924,61,14,7,8
925,61,1,2,16
926,61,13,9,14
927,61,17,11,12
928,61,25,5,21
929,61,31,9,15
930,61,16,3,9
931,61,23,5,20
932,61,32,13,18
933,61,10,8,22
934,61,34,2,17
935,61,22,7,7
936,61,30,1,4
937,61,21,11,11
938,61,35,8,23
